web-scraper-order,web-scraper-start-url,title,page,page-href
"1554519663-2088","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=",""" Computing"" Requirements for Open Source Software: A Distributed Cognitive Approach","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519663-2091","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Impact of the Information Technology Unit on Information Technology-Embedded Product Innovation.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519674-2093","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Inconsistent and incongruent frames during IT-enabled change: An action research study into sales process innovation","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519674-2097","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","","null","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2071","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","User resistance to the implementation of information systems: A psychological contract breach perspective","",""
"1554519674-2096","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Political maneuvering during business process transformation: A pluralist approach","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2072","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Expanding the frontiers of information systems research: Introduction to the special issue","",""
"1554519653-2065","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Organizational learning with crowdsourcing: The revelatory case of LEGO","",""
"1554519653-2067","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Business intelligence capability: the effect of top management and the mediating roles of user participation and analytical decision making orientation","",""
"1554519657-2082","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","The role of IS capabilities in the development of multi-sided platforms: the digital ecosystem strategy of Alibaba. com","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2081","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Seeing for understanding: Unlocking the potential of visual research in information systems","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519663-2086","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Co-authorship, homophily, and scholarly influence in information systems research","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2074","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","The dynamics of sustainable IS alignment: The case for IS adaptivity","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2073","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Designing a requirement mining system","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519674-2095","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Examining Real Options Exercise Decisions in Information Technology Investments","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2068","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Confirmation biases in the financial analysis of IT investments","",""
"1554519653-2070","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Leveraging social capital to obtain top management support in complex, cross-functional IT projects","",""
"1554519653-2069","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Enhanced use of IT: A new perspective on post-adoption","",""
"1554519663-2084","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Learning from First-Generation Qualitative Approaches in the IS Discipline: An Evolutionary View and Some Implications for Authors and Evaluators (PART 1/2)","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2077","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Job satisfaction in agile development teams: Agile development as work redesign","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519657-2075","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Information technology, materiality, and organizational change: A professional odyssey","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519663-2090","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Evaluation as a multi-ontological endeavour: a case from the English National Program for IT in healthcare","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519674-2094","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","Guidelines for conducting mixed-methods research: An extension and illustration","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519653-2064","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","From project management to program management: an invitation to investigate programs where IT plays a significant role","",""
"1554519663-2092","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+the+Association+for+Information+Systems%22&btnG=","A coevolutionary view of information services development: lessons from the US National Oceanic and Atmospheric Administration","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22Journal+of+the+Association+for+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
